City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
1,Atuona,PF,76.39,broken clouds,-9.8,-139.0333,Villa Enata
3,Cape Town,ZA,80.49,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Ajdabiya,LY,77.92,scattered clouds,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
8,Biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
11,Porbandar,IN,84.16,few clouds,21.6422,69.6093,Lords Inn Porbandar
12,Hermanus,ZA,79.25,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
17,Axim,GH,81.0,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
21,Ambilobe,MG,75.0,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
22,Multan,PK,85.89,smoke,30.1956,71.4753,Hotel B R Lounge
33,Lorengau,PG,79.63,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
36,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
44,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
61,Naranjito,EC,76.68,few clouds,-2.2167,-79.4833,canton marcelino maridueña
66,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
77,Frankfort,ZA,84.69,scattered clouds,-27.2667,28.4833,Formule 11 Accomodation
78,Hasaki,JP,76.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
79,Belmonte,BR,82.65,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
81,Bathsheba,BB,83.35,light rain,13.2167,-59.5167,Atlantis Hotel
84,Asyut,EG,84.15,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
86,Touros,BR,85.82,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
89,Sur,OM,81.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
101,Lazaro Cardenas,MX,81.84,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
104,Gwadar,PK,81.61,clear sky,25.1216,62.3254,Sadaf Resort
113,Kulhudhuffushi,MV,81.48,broken clouds,6.6221,73.07,Haajy Guest House 1
114,Butaritari,KI,81.48,light rain,3.0707,172.7902,Isles Sunset Lodge
123,Eyl,SO,79.86,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
133,Raghogarh,IN,75.83,light rain,24.45,77.2,महारानी मंदिर
134,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
135,Parrita,CR,81.41,overcast clouds,9.5201,-84.3225,Beso del Viento
140,Ribeira Grande,PT,75.78,few clouds,38.5167,-28.7,Quinta da Meia Eira
147,Sakakah,SA,87.75,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
152,Porto Novo,BJ,83.66,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
154,Faanui,PF,77.61,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,Miri,MY,76.8,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
157,Bredasdorp,ZA,75.97,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
158,Kahului,US,77.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
159,Vila Franca Do Campo,PT,77.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
161,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Central
170,Xai-Xai,MZ,77.16,scattered clouds,-25.0519,33.6442,Complexo da Familia
171,Impfondo,CG,81.25,light rain,1.6381,18.0667,Auberge La Place de Jules
174,Mogadishu,SO,77.76,clear sky,2.0371,45.3438,Hotel Juba
175,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
176,Vanimo,PG,79.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
177,Kavieng,PG,80.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
183,Kandrian,PG,76.86,broken clouds,-6.2167,149.55,Kandrian Station
184,Bengkulu,ID,76.03,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
189,Chake Chake,TZ,76.5,clear sky,-5.2459,39.7666,Pemba Sea View Hotel
190,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
195,Saldanha,ZA,83.41,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
197,Ijero,NG,81.97,broken clouds,6.4819,3.3803,Esporta Suites Yaba
199,Bandarbeyla,SO,78.28,broken clouds,9.4942,50.8122,JABIR HOTEL
200,Chalmette,US,75.2,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
202,Ndola,ZM,85.3,scattered clouds,-12.9587,28.6366,Chabanga Lodge iSpot
204,San Patricio,US,84.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
206,Kirakira,SB,77.79,scattered clouds,-10.4544,161.9205,SanBiz Lodge
207,Luanda,AO,77.92,clear sky,-8.8368,13.2343,EPIC SANA Luanda
208,Acarau,BR,88.88,scattered clouds,-2.8856,-40.12,castelo pizzaria
216,Alofi,NU,77.07,light rain,-19.0595,-169.9187,Taloa Heights
218,Pansemal,IN,80.98,broken clouds,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
220,Luganville,VU,76.48,broken clouds,-15.5333,167.1667,The Espiritu Hotel
225,Buraydah,SA,88.74,clear sky,26.326,43.975,Mövenpick Qassim
228,Progreso,MX,83.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
232,Carutapera,BR,86.45,broken clouds,-1.195,-46.02,Lidera
242,Sungairaya,ID,78.08,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
246,Kalmunai,LK,80.78,scattered clouds,7.4167,81.8167,VS Villa
248,Itarema,BR,88.84,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
256,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
259,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
261,Phalaborwa,ZA,83.93,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
262,Cravo Norte,CO,85.03,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
263,Tanuku,IN,79.16,overcast clouds,16.75,81.7,Hotel Sri Devi Residency
267,Tabou,CI,80.62,light rain,4.423,-7.3528,hotêl doufoulougou
268,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
269,Celestun,MX,82.33,overcast clouds,20.8667,-90.4,Posada Lilia
272,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
273,Ponta Delgada,PT,77.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
275,Ormara,PK,82.44,clear sky,25.2088,64.6357,Kenara Colony House for Rent
277,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Green leaf
278,Mumford,GH,80.35,scattered clouds,5.2618,-0.759,Peace Guest House
280,Pochutla,MX,84.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
283,Poso,ID,76.55,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
288,Qeshm,IR,87.67,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
292,Ixtapa,MX,84.22,clear sky,20.7,-105.2,hotel la terminal
293,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
296,Awjilah,LY,83.16,clear sky,29.1081,21.2869,المنزل
298,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
303,Sao Filipe,CV,79.38,few clouds,14.8961,-24.4956,Hotel Xaguate
313,Puerto Carreno,CO,85.64,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
315,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
319,Mossendjo,CG,79.09,light rain,-2.9506,12.7261,HOTEL D'ASSISE
327,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
331,Dicabisagan,PH,77.74,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
334,Karratha,AU,76.82,few clouds,-20.7377,116.8463,ibis Styles Karratha
335,Ponta Do Sol,PT,79.0,broken clouds,32.6667,-17.1,Hotel do Campo
339,Zaltan,LY,85.46,broken clouds,32.947,11.8665,Fars Alfelale
340,Giddalur,IN,75.54,overcast clouds,15.35,78.9167,Shivaji Lodge
342,Kutum,SD,88.56,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
343,Yenagoa,NG,82.33,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
344,Sibolga,ID,77.9,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
347,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
348,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
350,Kuito,AO,86.34,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
351,Candelaria,PH,78.39,broken clouds,13.9311,121.4233,Casa de Provincia
355,Umm Lajj,SA,84.29,clear sky,25.0213,37.2685,Moon light Furnished Units
356,Buala,SB,79.43,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
