City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,81.16,77,99,16.22,overcast clouds
1,Atuona,PF,-9.8,-139.0333,76.39,67,83,16.53,broken clouds
2,Peniche,PT,39.3558,-9.3811,68.11,92,55,7.0,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,80.49,34,100,10.2,overcast clouds
4,Ajdabiya,LY,30.7554,20.2263,77.92,41,38,13.11,scattered clouds
5,Nemuro,JP,43.3236,145.575,61.36,94,100,16.93,overcast clouds
6,Olafsvik,IS,64.8945,-23.7142,37.6,60,86,9.78,overcast clouds
7,Horizontina,BR,-27.6258,-54.3078,53.65,93,100,7.43,overcast clouds
8,Biak,ID,-0.9131,122.8766,75.99,86,96,6.11,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,47.77,95,96,14.5,light rain
10,Haines Junction,CA,60.7522,-137.5108,35.33,90,100,3.51,light snow
11,Porbandar,IN,21.6422,69.6093,84.16,68,17,9.75,few clouds
12,Hermanus,ZA,-34.4187,19.2345,79.25,42,100,12.3,overcast clouds
13,Hilo,US,19.7297,-155.09,80.28,86,0,4.61,clear sky
14,Narsaq,GL,60.9167,-46.05,43.02,98,100,7.92,light rain
15,Yellowknife,CA,62.456,-114.3525,54.52,53,100,16.02,overcast clouds
16,Tuatapere,NZ,-46.1333,167.6833,47.44,92,100,13.67,light rain
17,Axim,GH,4.8699,-2.2405,81.0,76,83,7.81,light rain
18,College,US,64.8569,-147.8028,31.59,90,100,12.66,light snow
19,Saint-Philippe,RE,-21.3585,55.7679,72.99,76,48,9.84,scattered clouds
20,Dikson,RU,73.5069,80.5464,34.25,99,100,12.15,overcast clouds
21,Ambilobe,MG,-13.2,49.05,75.0,59,3,4.63,clear sky
22,Multan,PK,30.1956,71.4753,85.89,54,20,0.0,smoke
23,Sorland,NO,67.667,12.6934,51.66,84,100,24.61,overcast clouds
24,Jamestown,US,42.097,-79.2353,60.03,56,75,6.91,broken clouds
25,Alta,NO,69.9689,23.2717,42.06,79,0,0.0,clear sky
26,Meru,KE,0.0463,37.6559,69.44,54,69,8.03,broken clouds
27,Nelson Bay,AU,-32.7167,152.15,62.01,77,82,11.99,broken clouds
28,Fortuna,US,40.5982,-124.1573,51.98,91,100,3.44,overcast clouds
29,Taoudenni,ML,22.6783,-3.9836,104.23,13,69,14.29,broken clouds
30,Juneau,US,58.3019,-134.4197,48.22,97,100,3.44,light rain
31,Strezhevoy,RU,60.7333,77.5889,47.1,86,100,16.53,light rain
32,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,100,2.3,overcast clouds
